edr,planning.region,type,number,pct.hh
EDR 6E- Southwest Central,Central,num.intr,35591,0.7587405133452716
EDR 6E- Southwest Central,Central,num.noin,11317,0.2412594866547284
EDR 6E- Southwest Central,Central,num.none,6924,0.14760808390892813
EDR 6E- Southwest Central,Central,num.satt,4074,0.08685085699667434
EDR 6E- Southwest Central,Central,num.smrt,30651,0.653427986697365
EDR 6E- Southwest Central,Central,num.tabl,23061,0.4916218981836787
EDR 6E- Southwest Central,Central,total.hh,46908,1
EDR 6W- Upper Minnesota Valley,Southwest,num.brod,13383,0.7108030592734226
EDR 6W- Upper Minnesota Valley,Southwest,num.cell,7110,0.3776290630975143
EDR 6W- Upper Minnesota Valley,Southwest,num.comp,15328,0.8141066496707032
EDR 6W- Upper Minnesota Valley,Southwest,num.desk,13640,0.7244529424261738
EDR 6W- Upper Minnesota Valley,Southwest,num.dial,356,0.018908009347779902
EDR 6W- Upper Minnesota Valley,Southwest,num.intr,13739,0.7297110686212025
EDR 6W- Upper Minnesota Valley,Southwest,num.noin,5089,0.27028893137879756
EDR 6W- Upper Minnesota Valley,Southwest,num.none,3500,0.1858933503292968
EDR 6W- Upper Minnesota Valley,Southwest,num.satt,1625,0.08630762693860208
EDR 6W- Upper Minnesota Valley,Southwest,num.smrt,11155,0.592468663692373
EDR 6W- Upper Minnesota Valley,Southwest,num.tabl,8372,0.44465689398767794
EDR 6W- Upper Minnesota Valley,Southwest,total.hh,18828,1
EDR 7E- East Central,Central,num.brod,46053,0.7468498126915655
EDR 7E- East Central,Central,num.cell,27820,0.45116196098146377
EDR 7E- East Central,Central,num.comp,52668,0.8541264615733909
EDR 7E- East Central,Central,num.desk,47889,0.7766245560546843
EDR 7E- East Central,Central,num.dial,856,0.013881906491737346
EDR 7E- East Central,Central,num.intr,46909,0.7607317191833028
EDR 7E- East Central,Central,num.noin,14754,0.2392682808166972
EDR 7E- East Central,Central,num.none,8995,0.14587353842660916
EDR 7E- East Central,Central,num.satt,6230,0.1010330343966398
EDR 7E- East Central,Central,num.smrt,41228,0.6686019168707329
EDR 7E- East Central,Central,num.tabl,32032,0.5194687251674424
EDR 7E- East Central,Central,total.hh,61663,1
EDR 7W- Central,Central,num.brod,123996,0.8135633254817566
EDR 7W- Central,Central,num.cell,78031,0.5119774819402799
EDR 7W- Central,Central,num.comp,138192,0.9067062088694385
EDR 7W- Central,Central,num.desk,126620,0.8307799305824383
EDR 7W- Central,Central,num.dial,1385,0.009087270603827807
EDR 7W- Central,Central,num.intr,125381,0.8226505960855843
EDR 7W- Central,Central,num.noin,27030,0.17734940391441562
EDR 7W- Central,Central,num.none,14219,0.09329379113056144
EDR 7W- Central,Central,num.satt,10893,0.0714712192689504
EDR 7W- Central,Central,num.smrt,112639,0.7390477065303686
EDR 7W- Central,Central,num.tabl,87113,0.5715663567590266
EDR 7W- Central,Central,total.hh,152411,1
EDR 8 - Southwest,Southwest,num.brod,35010,0.7343471421080231
EDR 8 - Southwest,Southwest,num.cell,21072,0.4419926586261143
EDR 8 - Southwest,Southwest,num.comp,39928,0.8375039328788674
EDR 8 - Southwest,Southwest,num.desk,35647,0.7477084425799685
EDR 8 - Southwest,Southwest,num.dial,578,0.012123754588358678
EDR 8 - Southwest,Southwest,num.intr,35588,0.7464708966963818
EDR 8 - Southwest,Southwest,num.noin,12087,0.2535291033036183
EDR 8 - Southwest,Southwest,num.none,7747,0.16249606712113268
EDR 8 - Southwest,Southwest,num.satt,5786,0.12136339800734137
EDR 8 - Southwest,Southwest,num.smrt,29776,0.6245621394861038
EDR 8 - Southwest,Southwest,num.tabl,22455,0.47100157315154695
EDR 8 - Southwest,Southwest,total.hh,47675,1
EDR 9 - South Central,Southwest,num.brod,71477,0.773920763991901
EDR 9 - South Central,Southwest,num.cell,39636,0.42916075662916725
EDR 9 - South Central,Southwest,num.comp,79697,0.8629232218456641
EDR 9 - South Central,Southwest,num.desk,72503,0.7850298298991956
EDR 9 - South Central,Southwest,num.dial,933,0.010102103792890631
EDR 9 - South Central,Southwest,num.intr,72410,0.7840228677847916
EDR 9 - South Central,Southwest,num.noin,19947,0.21597713221520837
EDR 9 - South Central,Southwest,num.none,12660,0.1370767781543359
EDR 9 - South Central,Southwest,num.satt,6299,0.06820273503903332
EDR 9 - South Central,Southwest,num.smrt,61322,0.6639669976287667
EDR 9 - South Central,Southwest,num.tabl,45530,0.4929783340732159
EDR 9 - South Central,Southwest,total.hh,92357,1
